trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
8826020,Y46,1,OUTBOUND-ELIZABETH ,,0,192454602,shp-Y46-54,1,1
1246010,41,4,INBOUND-DOWNTOWN,,1,192750101,shp-41-01,1,1
11225020,79,1,INBOUND-LINCOLN LOOP,,1,192620402,shp-79-18,1,1
3521020,61B,1,INBOUND-DOWNTOWN,,1,192424802,shp-61B-02,1,1
11451020,O12,1,INBOUND-DOWNTOWN,,1,193131902,shp-O12-10,1,1
12610080,28X,3,INBOUND-DOWNTOWN,,1,192922108,shp-28X-01,1,1
3160020,69,1,INBOUND-PITTSBURGH VIA OAKLAND-SQUIRREL HILL,,1,192625702,shp-69-02,1,1
1389080,61C,3,INBOUND-PITTSBURGH VIA OAKLAND,,1,192787808,shp-61C-01,1,1
419020,59,1,INBOUND-CENTURY III,,1,192441402,shp-59-01,1,1
6153020,P17,1,OUTBOUND-LINCOLN PARK,,0,192619302,shp-P17-57,1,1
12588020,12,1,INBOUND-DOWNTOWN,,1,193163902,shp-12-01,1,1
10443020,48,1,OUTBOUND-SOUTH HILLS JUNCTION,,0,192725302,shp-48-56,1,1
257080,82,3,INBOUND-DOWNTOWN,,1,192922408,shp-82-11,1,1
4594020,91,1,INBOUND-DOWNTOWN VIA STRIP DISTRICT,,1,193172602,shp-91-22,1,1
13617010,87,4,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,192685201,shp-87-51,1,1
2211080,28X,3,INBOUND-DOWNTOWN,,1,192909108,shp-28X-01,1,1
9554070,59,2,OUTBOUND-NORTH VERSAILLES,,0,192461207,shp-59-51,1,1
9515070,86,2,INBOUND-DOWNTOWN,,1,192662707,shp-86-08,1,1
6611070,51,2,OUTBOUND-BRENTWOOD LOOP ,,0,192468707,shp-51-70,1,1
1142070,Y46,2,INBOUND-DOWNTOWN,,1,192483307,shp-Y46-11,1,1
4871070,86,2,OUTBOUND-WILKINSBURG,,0,192675607,shp-86-56,1,1
4052080,61A,3,INBOUND-DOWNTOWN,,1,192789308,shp-61A-01,1,1
5350080,8,3,INBOUND-DOWNTOWN,,1,193287108,shp-8-08,1,1
14065080,54,3,OUTBOUND-SOUTH HILLS JCT VIA PENN AVE,,0,193281508,shp-54-53,1,1
27010,77,4,INBOUND-DOWNTOWN,,1,192696001,shp-77-29,1,1
13802010,79,4,INBOUND-LINCOLN LOOP,,1,192681101,shp-79-18,1,1
4702020,38,1,INBOUND-DOWNTOWN,,1,192708902,shp-38-02,1,1
14160070,6,2,OUTBOUND-NORTHVIEW HEIGHTS,,0,193307807,shp-6-09,1,1
2297070,61B,2,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,192458807,shp-61B-51,1,1
928070,P68,2,OUTBOUND-FORBES HOSPITAL,,0,192657307,shp-P68-20,1,1
11332080,44,3,OUTBOUND-ST CLAIR,,0,192886408,shp-44-16,1,1
2023010,22,4,OUTBOUND-KENNEDY CENTER,,0,192742601,shp-22-54,1,1
7790080,6,3,OUTBOUND-NORTHVIEW HEIGHTS,,0,193284508,shp-6-09,1,1
10973070,71B,2,INBOUND-DOWNTOWN,,1,192658607,shp-71B-02,1,1
12750070,88,2,OUTBOUND-BAKERY SQUARE,,0,192669107,shp-88-10,1,1
5889080,82,3,OUTBOUND-LINCOLN,,0,192909808,shp-82-59,1,1
645010,86,4,OUTBOUND-WILKINSBURG,,0,192689801,shp-86-56,1,1
6214020,87,1,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,192623602,shp-87-67,1,1
1771070,31,2,OUTBOUND-BRIDGEVILLE,,0,192737007,shp-31-51,1,1
16020,28X,1,INBOUND-DOWNTOWN,,1,192639202,shp-28X-01,1,1
12968070,28X,2,INBOUND-DOWNTOWN,,1,192664107,shp-28X-01,1,1
3307070,61B,2,INBOUND-DOWNTOWN,,1,192458807,shp-61B-01,1,1
12004070,51,2,INBOUND-DOWNTOWN,,1,192468407,shp-51-01,1,1
10243080,71A,3,INBOUND-OAKLAND,,1,192924408,shp-71A-07,1,1
3882070,P1,2,INBOUND-DOWNTOWN,,1,192656507,shp-P1-09,1,1
1746070,24,2,INBOUND-DOWNTOWN,,1,192734707,shp-24-01,1,1
4097010,13,4,OUTBOUND-WEST VIEW,,0,193275801,shp-13-70,1,1
6490020,79,1,OUTBOUND-WILKINSBURG STATION,,0,192648802,shp-79-64,1,1
951020,38,1,OUTBOUND-MT LEBANON,,0,192708902,shp-38-51,1,1
2626070,41,2,OUTBOUND-BRIDGEVILLE,,0,192738507,shp-41-51,1,1
5499020,15,1,OUTBOUND-NORTH VIEW HEIGHTS - SUMMER HILL,,0,193153902,shp-15-51,1,1
4953010,64,4,OUTBOUND-WATERFRONT,,0,192495601,shp-64-51,1,1
3313080,21,3,INBOUND-DOWNTOWN,,1,192884208,shp-21-14,1,1
8316070,81,2,OUTBOUND-WHARTON SQUARE VIA OAKLAND,,0,192456807,shp-81-51,1,1
9410020,P16,1,OUTBOUND-PENN HILLS-LEECHBURG FLYER,,0,192611702,shp-P16-85,1,1
8940080,G2,3,OUTBOUND-CARNEGIE,,0,192889608,shp-G2-53,1,1
11587010,Y49,4,INBOUND-DOWNTOWN,,1,192502201,shp-Y49-08,1,1
8895020,71B,1,INBOUND-DOWNTOWN,,1,192644302,shp-71B-02,1,1
1419080,26,3,INBOUND-DOWNTOWN,,1,192881508,shp-26-01,1,1
998070,54,2,OUTBOUND-BON AIR VIA POLISH HILL,,0,193311407,shp-54-52,1,1
2831020,G2,1,OUTBOUND-CARNEGIE,,0,192710102,shp-G2-53,1,1
9624080,67,3,INBOUND-DOWNTOWN,,1,192925408,shp-67-03,1,1
1853020,61A,1,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,192424102,shp-61A-52,1,1
2243010,71D,4,INBOUND-OAKLAND,,1,192695901,shp-71D-07,1,1
11184020,71A,1,INBOUND-OAKLAND,,1,192618002,shp-71A-07,1,1
9650070,69,2,OUTBOUND-TRAFFORD VIA WILKINSBURG,,0,192657207,shp-69-52,1,1
13940080,82,3,OUTBOUND-LINCOLN,,0,192919208,shp-82-59,1,1
12315020,51,1,OUTBOUND-WEST MIFFLIN,,0,192432402,shp-51-68,1,1
7893070,82,2,INBOUND-DOWNTOWN,,1,192676007,shp-82-11,1,1
13697020,6,1,INBOUND-DOWNTOWN,,1,193133802,shp-6-06,1,1
1913020,P69,1,OUTBOUND-TRAFFORD FLYER,,0,192612002,shp-P69-14,1,1
10046020,21,1,OUTBOUND-UNIVERSITY BLVD PARK-AND-RIDE,,0,192713902,shp-21-58,1,1
4329020,61A,1,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,192448602,shp-61A-52,1,1
12761020,61C,1,INBOUND-PITTSBURGH VIA OAKLAND,,1,192421002,shp-61C-01,1,1
3689080,6,3,INBOUND-DOWNTOWN,,1,193278908,shp-6-06,1,1
10873020,P69,1,INBOUND-Trafford,,1,192612002,shp-P69-03,1,1
4919010,51,4,OUTBOUND-WEST MIFFLIN,,0,192492201,shp-51-68,1,1
720070,28X,2,OUTBOUND-PITTSBURGH INTERNATIONAL AIRPORT,,0,192665207,shp-28X-51,1,1
12970020,G2,1,INBOUND-DOWNTOWN,,1,192725902,shp-G2-04,1,1
2957020,61A,1,INBOUND-DOWNTOWN,,1,192444002,shp-61A-01,1,1
145070,61D,2,INBOUND-OAKLAND,,1,192471607,shp-61D-01,1,1
5706080,28X,3,INBOUND-DOWNTOWN,,1,192921808,shp-28X-01,1,1
12778020,77,1,INBOUND-DOWNTOWN,,1,192645002,shp-77-01,1,1
6802020,4,1,OUTBOUND-TROY HILL,,0,193158802,shp-4-51,1,1
8631010,28X,4,INBOUND-DOWNTOWN,,1,192688301,shp-28X-01,1,1
13131010,61A,4,INBOUND-DOWNTOWN,,1,192500101,shp-61A-01,1,1
10651080,86,3,OUTBOUND-WILKINSBURG,,0,192926708,shp-86-56,1,1
9502020,71D,1,INBOUND-OAKLAND,,1,192641402,shp-71D-07,1,1
5702070,Y49,2,INBOUND-DOWNTOWN,,1,192483907,shp-Y49-08,1,1
4253080,81,3,OUTBOUND-WHARTON SQUARE VIA OAKLAND,,0,192777008,shp-81-51,1,1
7080070,39,2,INBOUND-DOWNTOWN,,1,192737307,shp-39-10,1,1
6330070,75,2,INBOUND-SOUTH SIDE WORKS VIA OAKLAND,,1,192666807,shp-75-02,1,1
7500010,71C,4,INBOUND-OAKLAND,,1,192690101,shp-71C-08,1,1
12122020,61A,1,OUTBOUND-NORTH BRADDOCK VIA OAKLAND-SQ HILL,,0,192434702,shp-61A-51,1,1
302020,P68,1,OUTBOUND-FORBES HOSPITAL,,0,192613402,shp-P68-20,1,1
8782010,12,4,OUTBOUND-McCANDLESS PARK-AND-RIDE,,0,193277301,shp-12-51,1,1
9280020,19L,1,OUTBOUND-EMSWORTH LIMITED,,0,193136202,shp-19L-58,1,1
940080,41,3,OUTBOUND-BRIDGEVILLE,,0,192888108,shp-41-51,1,1
6341080,P68,3,INBOUND-DOWNTOWN,,1,192922908,shp-P68-18,1,1
6016020,P16,1,OUTBOUND-Auto Generated-84,,0,192615602,shp-P16-84,1,1
8479070,71D,2,INBOUND-OAKLAND,,1,192658907,shp-71D-07,1,1
4301020,59,1,OUTBOUND-NORTH VERSAILLES,,0,192427102,shp-59-51,1,1
4947020,P68,1,INBOUND-MONROEVILLE MALL,,1,192612102,shp-P68-12,1,1
11237020,57,1,INBOUND-DOWNTOWN,,1,192440202,shp-57-01,1,1
13911070,41,2,OUTBOUND-BRIDGEVILLE,,0,192738707,shp-41-51,1,1
1841010,83,4,INBOUND-DOWNTOWN,,1,192504101,shp-83-01,1,1
10983070,48,2,INBOUND-DOWNTOWN,,1,192729607,shp-48-07,1,1
4567080,91,3,INBOUND-DOWNTOWN VIA STRIP DISTRICT,,1,193283908,shp-91-23,1,1
6365020,17,1,INBOUND-Downtown,,1,193140402,shp-17-09,1,1
1295070,61A,2,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,192467007,shp-61A-52,1,1
2559070,87,2,INBOUND-DOWNTOWN VIA STRIP DISTRICT,,1,192677407,shp-87-01,1,1
12334020,38,1,OUTBOUND-CHARTIER VALLEY SHOPPING CENTER,,0,192709002,shp-38-52,1,1
5693020,15,1,INBOUND-DOWNTOWN,,1,193167002,shp-15-01,1,1
13806010,28X,4,OUTBOUND-PITTSBURGH INTERNATIONAL AIRPORT,,0,192687901,shp-28X-51,1,1
14029070,58,2,OUTBOUND-OAKLAND,,0,192656907,shp-58-51,1,1
12377080,69,3,INBOUND-WILKINSBURG,,1,192913108,shp-69-25,1,1
7995020,36,1,OUTBOUND-SOUTH HILLS VILLAGE,,0,192722402,shp-36-51,1,1
9025020,71A,1,INBOUND-OAKLAND,,1,192618702,shp-71A-07,1,1
1044070,12,2,OUTBOUND-DOWNTOWN,,0,193304907,shp-12-52,1,1
11706080,71B,3,OUTBOUND-HIGHLAND PARK,,0,192913308,shp-71B-51,1,1
12232020,16,1,OUTBOUND-AVALON LOOP,,0,193167802,shp-16-56,1,1
8033010,61A,4,INBOUND-DOWNTOWN,,1,192499801,shp-61A-01,1,1
2352070,71D,2,OUTBOUND-WILKINSBURG STATION,,0,192674307,shp-71D-54,1,1
12261020,1,1,OUTBOUND-TARENTUM,,0,193153402,shp-1-63,1,1
